Geography,Canada,Canada,Canada,Canada,Canada,Canada,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Ontario 10,Ontario 11,Ontario 12,Ontario 13,Ontario 14,Ontario 15,Alberta 11,Alberta 12,Alberta 13,Alberta 14,Alberta 15,Alberta 16,British Columbia 12,British Columbia 13,British Columbia 14,British Columbia 15,British Columbia 16,British Columbia 17
International Standard Classification of Education (ISCED) 7,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,
Fall School Year ,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina  [24070],15,15,3,..,6,3,..,..,..,..,..,..,6,9,..,..,3,0,3,3,..,..,0,0,3,3,3,..,3,3
Croatia  [24191],30,21,3,3,9,6,0,0,..,..,0,0,15,15,3,3,6,6,6,3,..,..,..,..,3,0,..,0,3,..
Gibraltar  [24292],3,3,..,..,..,..,..,3,..,..,..,..,..,0,..,..,..,..,3,..,..,..,..,..,3,3,..,..,..,..
Greece  [24300],243,231,36,39,96,90,72,63,12,9,30,27,117,114,18,18,45,48,9,6,0,3,6,3,30,30,6,6,6,6
Holy See (Vatican City State)  [24336],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy  [24380],777,924,108,138,252,261,204,264,42,42,111,114,285,360,42,69,60,72,54,54,6,6,24,24,171,183,15,12,33,33
Kosovo  [24470],12,18,3,3,3,3,..,0,..,..,..,0,12,9,3,3,0,0,3,3,..,..,..,..,..,3,..,0,..,..
North Macedonia  [24807],21,21,..,..,6,3,3,3,..,..,3,3,15,15,..,..,3,3,..,3,..,..,..,..,3,3,..,..,3,3
Malta  [24620],9,6,3,3,0,0,3,3,0,0,3,..,9,3,3,0,0,0,..,..,..,..,..,..,..,0,..,0,..,..
Montenegro  [24674],3,6,..,..,3,3,0,..,..,..,..,..,3,3,..,..,3,3,..,..,..,..,..,..,3,3,..,..,..,..
Portugal  [24688],204,255,18,18,27,24,33,54,6,6,9,9,105,120,9,9,9,9,6,9,0,0,0,0,48,54,3,0,3,3
San Marino  [24674],3,0,..,..,..,..,3,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Serbia  [24724],99,96,3,6,33,24,18,15,0,0,12,9,36,36,..,..,6,6,15,15,..,..,3,3,21,27,3,6,6,6
Serbia and Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovenia  [24705],15,12,0,3,3,0,3,..,..,..,..,..,9,6,..,3,3,..,3,3,..,..,0,0,0,3,0,..,..,..
Spain  [24983],483,753,84,105,123,120,141,273,27,33,63,66,174,252,39,39,27,27,36,60,9,12,6,9,99,120,6,6,15,12
Cabo Verde  [31132],6,3,3,..,..,..,6,3,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin  [31204],606,555,162,123,111,102,438,381,150,117,108,99,117,129,6,6,0,0,..,..,..,..,..,..,6,9,3,..,..,..
Gambia  [31270],78,78,3,12,3,3,9,9,..,3,0,3,33,33,3,0,3,3,3,0,3,3,..,..,6,6,..,0,..,..
Ghana  [31288],"1,617","1,575",543,477,285,294,93,72,45,36,33,30,633,651,144,138,105,114,177,180,54,57,42,39,159,162,57,60,27,27
Guinea  [31324],492,549,108,90,15,21,255,306,99,81,15,21,96,117,0,3,..,..,3,3,..,..,..,..,3,0,..,..,..,..
Côte d'Ivoire  [31384],"1,839","2,226",288,336,84,105,"1,011","1,206",258,303,78,99,594,753,24,21,6,3,18,18,0,0,..,..,6,9,..,..,..,..
Liberia  [31430],21,27,3,3,..,..,0,0,..,..,..,..,9,12,0,0,..,..,3,3,..,..,..,..,6,9,3,0,..,..
Mali  [31466],693,741,78,69,18,15,252,279,72,60,12,12,216,252,3,6,3,0,3,0,..,..,..,..,3,3,0,..,..,..
Mauritania  [31478],69,66,18,12,6,3,51,45,15,12,3,3,12,12,..,..,3,..,3,3,..,..,..,..,..,..,..,..,..,..
Niger  [31562],168,192,42,48,12,15,129,132,42,45,12,12,30,42,3,3,..,..,..,3,..,..,..,..,3,6,..,0,..,0
Nigeria  [31566],"9,210","10,443","1,149","1,500",348,381,204,201,84,93,51,54,"4,470","5,124",384,474,108,132,900,"1,077",138,195,45,48,732,789,225,228,39,36
Guinea-Bissau  [31624],3,6,..,3,..,0,3,6,..,3,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,..
"Saint Helena, Ascension and Tristan da Cunha  [31654]",3,3,..,..,..,..,..,..,..,..,..,..,3,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal  [31686],"1,395","1,680",309,366,81,84,942,"1,143",291,351,75,81,312,396,12,9,6,3,12,9,0,..,..,..,6,6,3,..,..,..
Sierra Leone  [31694],42,42,3,0,..,..,0,0,..,..,..,..,15,18,..,..,..,..,3,0,..,..,..,..,9,9,0,0,..,..
Togo  [31768],465,402,117,93,78,69,324,285,114,90,69,63,66,72,3,3,3,3,0,3,..,..,..,..,9,6,..,..,0,..
Burkina Faso  [31854],816,879,147,150,84,87,531,549,135,141,78,81,210,249,9,6,3,3,3,6,..,..,..,..,3,6,..,0,..,..
Burundi  [32108],348,399,24,30,9,9,81,114,12,15,6,9,225,249,9,12,0,0,6,9,..,3,..,..,9,9,0,0,..,..
Comoros  [32174],21,21,0,6,3,0,6,12,0,6,3,0,6,6,..,3,..,..,0,0,..,..,..,..,..,..,..,..,..,..
Mayotte  [32175],3,0,..,..,..,..,3,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia  [32231],426,453,30,33,72,81,24,30,3,3,6,9,246,252,21,15,39,45,48,54,3,3,12,9,33,48,3,9,6,6
Eritrea  [32232],102,81,3,0,3,6,3,6,0,0,..,0,63,57,0,..,0,0,9,6,3,3,..,..,6,6,0,..,0,3
Djibouti  [32262],51,54,6,6,3,3,33,27,6,6,3,3,15,27,..,..,0,0,0,0,..,..,..,..,..,..,..,..,..,..
Kenya  [32404],"1,419","1,506",93,111,39,48,57,39,3,3,6,6,546,624,33,39,12,15,222,228,15,12,3,6,303,342,21,30,6,9
Madagascar  [32450],285,351,90,90,33,33,216,234,87,84,27,30,36,48,..,0,3,3,3,3,..,..,0,0,3,6,..,..,..,..
Malawi  [32454],42,54,3,3,3,3,3,..,3,..,..,..,15,24,0,0,3,3,3,3,..,..,..,..,12,12,0,0,..,..
